org_code,fund,allotment,FY14,FY18,FY19
1380,operating_fund,Principals/Assistant Principals,2.0,1.0,1.0
1380,operating_fund,Teachers ‐ Regular Education,30.2,25.0,24.0
1380,operating_fund,Teachers ‐ Special Education,6.0,2.8,5.0
1380,operating_fund,Counselors/Student Adv./ Soc. Serv. Liaisons,1.2,0.8,0.1
1380,operating_fund,Nurses/Health Services,0.6,1.0,1.0
1380,operating_fund,Classroom Assistants/Teacher Assistants,11.0,8.0,9.0
1380,operating_fund,Secretaries,1.0,1.0,1.0
1380,operating_fund,Support Services Assistants,0.0,2.0,5.0
1380,operating_fund,Student Climate Staff,8.0,1.0,3.0
1380,operating_fund,Other,0.0,1.2,1.0
1380,operating_fund,Total Positions,60.0,43.8,50.1
1380,operating_fund,Supplies/Equipment/Non Full‐Time Salaries/Other,32272.0,100159.0,97553.0
1380,grant_fund,Principals/Assistant Principals,0.0,0.0,0.0
1380,grant_fund,Teachers ‐ Regular Education,8.1,8.6,9.6
1380,grant_fund,Teachers ‐ Special Education,0.0,0.2,0.0
1380,grant_fund,Counselors/Student Adv./ Soc. Serv. Liaisons,0.0,0.2,1.1
1380,grant_fund,Nurses/Health Services,0.0,0.0,0.0
1380,grant_fund,Classroom Assistants/Teacher Assistants,0.0,0.0,0.0
1380,grant_fund,Secretaries,0.0,0.0,0.0
1380,grant_fund,Support Services Assistants,7.0,5.0,3.0
1380,grant_fund,Student Climate Staff,0.0,7.0,4.0
1380,grant_fund,Other,1.0,0.0,0.0
1380,grant_fund,Total Positions,16.1,21.0,17.7
1380,grant_fund,Supplies/Equipment/Non Full‐Time Salaries/Other,198454.0,19977.0,15166.0
1380,operating_fund,Principals/Assistant Principals,2.0,1.0,1.0
1380,operating_fund,Teachers ‐ Regular Education,30.2,25.0,24.0
1380,operating_fund,Teachers ‐ Special Education,6.0,2.8,5.0
1380,operating_fund,Counselors/Student Adv./ Soc. Serv. Liaisons,1.2,0.8,0.1
1380,operating_fund,Nurses/Health Services,0.6,1.0,1.0
1380,operating_fund,Classroom Assistants/Teacher Assistants,11.0,8.0,9.0
1380,operating_fund,Secretaries,1.0,1.0,1.0
1380,operating_fund,Support Services Assistants,0.0,2.0,5.0
1380,operating_fund,Student Climate Staff,8.0,1.0,3.0
1380,operating_fund,Other,0.0,1.2,1.0
1380,operating_fund,Total Positions,60.0,43.8,50.1
1380,operating_fund,Supplies/Equipment/Non Full‐Time Salaries/Other,32272.0,100159.0,97553.0
1380,grant_fund,Principals/Assistant Principals,0.0,0.0,0.0
1380,grant_fund,Teachers ‐ Regular Education,8.1,8.6,9.6
1380,grant_fund,Teachers ‐ Special Education,0.0,0.2,0.0
1380,grant_fund,Counselors/Student Adv./ Soc. Serv. Liaisons,0.0,0.2,1.1
1380,grant_fund,Nurses/Health Services,0.0,0.0,0.0
1380,grant_fund,Classroom Assistants/Teacher Assistants,0.0,0.0,0.0
1380,grant_fund,Secretaries,0.0,0.0,0.0
1380,grant_fund,Support Services Assistants,7.0,5.0,3.0
1380,grant_fund,Student Climate Staff,0.0,7.0,4.0
1380,grant_fund,Other,1.0,0.0,0.0
1380,grant_fund,Total Positions,16.1,21.0,17.7
1380,grant_fund,Supplies/Equipment/Non Full‐Time Salaries/Other,198454.0,19977.0,15166.0
1380,operating_fund,Principals/Assistant Principals,2.0,1.0,1.0
1380,operating_fund,Teachers ‐ Regular Education,30.2,25.0,24.0
1380,operating_fund,Teachers ‐ Special Education,6.0,2.8,5.0
1380,operating_fund,Counselors/Student Adv./ Soc. Serv. Liaisons,1.2,0.8,0.1
1380,operating_fund,Nurses/Health Services,0.6,1.0,1.0
1380,operating_fund,Classroom Assistants/Teacher Assistants,11.0,8.0,9.0
1380,operating_fund,Secretaries,1.0,1.0,1.0
1380,operating_fund,Support Services Assistants,0.0,2.0,5.0
1380,operating_fund,Student Climate Staff,8.0,1.0,3.0
1380,operating_fund,Other,0.0,1.2,1.0
1380,operating_fund,Total Positions,60.0,43.8,50.1
1380,operating_fund,Supplies/Equipment/Non Full‐Time Salaries/Other,32272.0,100159.0,97553.0
1380,grant_fund,Principals/Assistant Principals,0.0,0.0,0.0
1380,grant_fund,Teachers ‐ Regular Education,8.1,8.6,9.6
1380,grant_fund,Teachers ‐ Special Education,0.0,0.2,0.0
1380,grant_fund,Counselors/Student Adv./ Soc. Serv. Liaisons,0.0,0.2,1.1
1380,grant_fund,Nurses/Health Services,0.0,0.0,0.0
1380,grant_fund,Classroom Assistants/Teacher Assistants,0.0,0.0,0.0
1380,grant_fund,Secretaries,0.0,0.0,0.0
1380,grant_fund,Support Services Assistants,7.0,5.0,3.0
1380,grant_fund,Student Climate Staff,0.0,7.0,4.0
1380,grant_fund,Other,1.0,0.0,0.0
1380,grant_fund,Total Positions,16.1,21.0,17.7
1380,grant_fund,Supplies/Equipment/Non Full‐Time Salaries/Other,198454.0,19977.0,15166.0
1380,operating_fund,Principals/Assistant Principals,2.0,1.0,1.0
