,Council District,Economically Disadvantaged Rate,Organization Code,School Level,budget_year,enrollment,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Other,grant_fund: Principals/Assistant Principals,grant_fund: Secretaries,grant_fund: Student Climate Staff,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Support Services Assistants,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Total Positions,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Other,operating_fund: Principals/Assistant Principals,operating_fund: Secretaries,operating_fund: Student Climate Staff,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,operating_fund: Support Services Assistants,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Total Positions,projected_enrollment
0,2nd,83.44%,1380,Elementary School,FY14,842.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,198454.0,7.0,8.1,0.0,16.1,11.0,1.2,0.6,0.0,2.0,1.0,8.0,32272.0,0.0,30.2,6.0,60.0,
1,4th,79.34%,4370,Elementary School,FY14,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71567.0,2.0,4.8,0.0,6.8,0.0,1.0,0.2,0.0,1.0,1.0,2.0,6343.0,0.0,11.8,2.0,19.0,
2,8th,54.18%,5070,High School,FY14,285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55598.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,1.0,1.0,2.0,76173.0,0.0,12.6,1.0,18.9,
3,3rd,84.48%,1260,K‐8 School,FY14,551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207506.0,0.0,7.6,0.0,7.6,3.0,1.0,0.4,0.0,1.0,1.0,3.0,27663.0,0.0,19.8,3.0,32.2,
4,7th,86.01%,5420,K‐8 School,FY14,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126627.0,2.0,7.0,0.0,9.0,0.0,0.9,0.4,0.0,1.0,1.0,5.0,8127.0,0.0,22.3,3.0,33.6,
5,5th,19.97%,2140,Middle Secondary,FY14,1179.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,30478.0,0.0,1.5,0.0,2.3,4.0,2.0,1.3,1.0,2.0,2.2,2.0,27159.0,0.0,53.5,2.0,70.0,
6,9th,73.92%,6350,K‐8 School,FY14,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60008.0,0.0,4.8,0.0,4.8,5.0,0.5,0.4,0.0,1.0,1.0,3.0,25961.0,3.0,15.4,6.0,35.2,
7,1st,61.82%,2510,K‐8 School,FY14,458.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,84350.0,3.0,3.3,0.0,7.5,4.0,0.5,0.3,0.0,1.0,1.0,4.0,13180.0,0.0,21.0,4.0,35.8,
8,9th,73.64%,7400,K‐8 School,FY14,861.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,96764.0,4.0,5.7,0.0,10.1,4.0,1.4,1.0,0.0,2.0,1.0,8.0,46170.0,0.0,36.1,7.0,60.5,
9,4th,69.79%,1030,High School,FY14,695.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100103.0,0.0,3.2,0.0,9.2,7.0,1.0,1.0,0.0,2.0,1.0,5.0,162534.0,1.0,28.3,11.0,57.3,
10,3rd,81.08%,1460,K‐8 School,FY14,534.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208208.0,0.0,4.8,0.0,4.8,4.0,1.0,1.0,0.0,1.0,1.0,6.0,10768.0,2.0,21.4,3.0,40.4,
11,3rd,74.72%,1580,Middle School,FY14,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51597.0,0.0,0.1,0.0,0.1,6.0,1.0,0.2,0.0,1.0,1.0,2.0,12712.0,0.0,14.2,2.0,27.4,
12,5th,89.54%,4570,K‐8 School,FY14,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148881.0,7.0,3.8,0.0,10.8,4.0,1.0,0.3,0.0,1.0,1.0,3.0,22126.0,0.0,17.0,5.0,32.2,
13,6th,75.02%,8340,Elementary School,FY14,1318.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,190824.0,0.0,7.1,0.0,7.5,17.0,2.4,1.4,0.0,2.0,1.0,9.0,46992.0,0.0,53.3,10.0,96.1,
14,7th,81.37%,7200,Elementary School,FY14,853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225390.0,0.0,13.6,0.0,13.6,9.0,1.4,1.0,0.0,1.0,1.0,6.0,29692.0,1.0,29.4,4.0,53.8,
15,5th,87.07%,7510,K‐8 School,FY14,732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175268.0,0.0,9.1,0.0,9.1,2.0,1.2,1.0,0.0,1.0,1.0,5.0,28596.0,0.0,28.8,3.0,43.0,
16,3rd,46.89%,2050,Middle School,FY14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,7th,87.96%,5530,Elementary School,FY14,736.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,257921.0,2.0,9.7,0.0,12.7,4.0,1.4,0.6,0.0,2.0,1.0,8.0,18110.0,0.0,27.9,6.0,50.9,
