,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,enrollment,budget_year
0,2nd,1380,Elementary School,83.44%,2.0,30.2,6.0,1.2,0.6,11.0,1.0,0.0,8.0,0.0,60.0,32272.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,16.1,198454.0,842.0,FY14
1,4th,4370,Elementary School,79.34%,1.0,11.8,2.0,1.0,0.2,0.0,1.0,0.0,2.0,0.0,19.0,6343.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.8,71567.0,256.0,FY14
2,8th,5070,High School,54.18%,1.0,12.6,1.0,1.0,0.3,0.0,1.0,0.0,2.0,0.0,18.9,76173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55598.0,285.0,FY14
3,3rd,1260,K‐8 School,84.48%,1.0,19.8,3.0,1.0,0.4,3.0,1.0,0.0,3.0,0.0,32.2,27663.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,207506.0,551.0,FY14
4,7th,5420,K‐8 School,86.01%,1.0,22.3,3.0,0.9,0.4,0.0,1.0,0.0,5.0,0.0,33.6,8127.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,126627.0,525.0,FY14
5,5th,2140,Middle Secondary,19.97%,2.0,53.5,2.0,2.0,1.3,4.0,2.2,0.0,2.0,1.0,70.0,27159.0,0.0,1.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,2.3,30478.0,1179.0,FY14
6,9th,6350,K‐8 School,73.92%,1.0,15.4,6.0,0.5,0.4,5.0,1.0,3.0,3.0,0.0,35.2,25961.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,60008.0,415.0,FY14
7,1st,2510,K‐8 School,61.82%,1.0,21.0,4.0,0.5,0.3,4.0,1.0,0.0,4.0,0.0,35.8,13180.0,0.0,3.3,0.0,1.2,0.0,0.0,0.0,3.0,0.0,0.0,7.5,84350.0,458.0,FY14
8,9th,7400,K‐8 School,73.64%,2.0,36.1,7.0,1.4,1.0,4.0,1.0,0.0,8.0,0.0,60.5,46170.0,0.0,5.7,0.0,0.4,0.0,0.0,0.0,4.0,0.0,0.0,10.1,96764.0,861.0,FY14
9,4th,1030,High School,69.79%,2.0,28.3,11.0,1.0,1.0,7.0,1.0,1.0,5.0,0.0,57.3,162534.0,0.0,3.2,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.2,100103.0,695.0,FY14
