,Council District,Organization Code,School Level,Economically Disadvantaged Rate,operating_fund: Principals/Assistant Principals,operating_fund: Teachers ‐ Regular Education,operating_fund: Teachers ‐ Special Education,operating_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,operating_fund: Nurses/Health Services,operating_fund: Classroom Assistants/Teacher Assistants,operating_fund: Secretaries,operating_fund: Support Services Assistants,operating_fund: Student Climate Staff,operating_fund: Other,operating_fund: Total Positions,operating_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,grant_fund: Principals/Assistant Principals,grant_fund: Teachers ‐ Regular Education,grant_fund: Teachers ‐ Special Education,grant_fund: Counselors/Student Adv./ Soc. Serv. Liaisons,grant_fund: Nurses/Health Services,grant_fund: Classroom Assistants/Teacher Assistants,grant_fund: Secretaries,grant_fund: Support Services Assistants,grant_fund: Student Climate Staff,grant_fund: Other,grant_fund: Total Positions,grant_fund: Supplies/Equipment/Non Full‐Time Salaries/Other,projected_enrollment,budget_year
0,2nd,1380,Elementary School,83.44%,1.0,24.0,5.0,0.1,1.0,9.0,1.0,5.0,3.0,1.0,50.1,97553.0,0.0,9.6,0.0,1.1,0.0,0.0,0.0,3.0,4.0,0.0,17.7,15166.0,602.0,FY19
1,4th,4370,Elementary School,79.34%,1.0,13.1,1.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,22.1,52021.0,0.0,3.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,38922.0,234.0,FY19
2,8th,5070,High School,54.18%,1.0,12.3,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,19.3,77198.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10173.0,277.0,FY19
3,3rd,1260,K‐8 School,84.48%,1.0,20.9,4.0,0.3,1.0,6.0,1.0,3.0,6.2,0.0,43.3,161556.0,0.0,4.2,0.0,1.7,0.0,0.0,0.0,3.0,1.9,1.0,11.8,607.0,496.0,FY19
4,7th,5420,K‐8 School,86.01%,1.5,20.2,4.0,0.2,1.0,2.0,1.0,0.0,4.0,1.0,34.9,72078.0,0.5,4.6,0.0,1.2,0.0,0.0,0.0,2.0,2.0,0.0,10.3,39959.0,357.0,FY19
5,5th,2140,Middle Secondary,19.97%,2.0,54.5,1.0,3.2,1.2,2.0,2.0,0.0,0.0,0.8,66.7,129042.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,4.0,0.0,5.2,3309.0,1201.0,FY19
6,9th,6350,K‐8 School,73.92%,1.0,19.2,6.0,1.0,1.0,13.0,1.0,0.0,1.2,0.0,43.4,90353.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.8,2.0,10.8,4730.0,385.0,FY19
7,1st,2510,K‐8 School,61.82%,1.0,26.7,3.0,1.5,1.0,3.0,1.0,2.0,3.0,1.0,43.2,62003.0,0.0,5.2,0.0,1.3,0.0,0.0,0.0,2.0,0.0,0.0,8.5,13461.0,610.0,FY19
8,9th,7400,K‐8 School,73.64%,2.0,39.1,5.0,2.9,1.0,6.0,1.0,0.0,2.0,0.0,59.0,258883.0,0.0,8.2,0.0,0.9,0.0,0.0,0.0,0.0,11.0,0.0,20.1,134838.0,896.0,FY19
9,4th,1030,High School,69.79%,1.0,25.4,11.0,0.6,1.0,18.0,1.0,0.0,0.0,0.0,58.0,160972.0,1.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,4.0,1.0,6.6,77632.0,583.0,FY19
